Carphophis amoenus
Cemophora coccinea
Coluber constrictor
Diadophis punctatus
Pantherophis guttatus
Pantherophis obsoletus
Farancia abacura
Farancia erytrogramma
Heterodon platirhinos
Heterodon simus
Lampropeltis rhombomaculata
Lampropeltis getula
Lampropeltis elapsoides
Lampropeltis triangulum triangulum
Masticophis flagellum
Nerodia erythrogaster
Nerodia fasciata
Nerodia sipedon
Nerodia taxispilota
Opheodrys aestivus
Pituophis melanoleucus
Regina rigida
Regina septemvitatta
Rhadinaea flavilata
Seminatrix pygaea
Storeria dekayi
Storeria occipitomaculata
Tantilla coronata
Thamnophis sauritus
Thamnophis sirtalis
Haldea striatula
Virginia valeriae
Micrurus fulvius
Agkistrodon contortrix
Agkistrodon piscivorus
Crotalus adamanteus
Crotalus horridus
Sistrurus miliarius
